Date,Input,Feeling,Predicted Emotion,Suggested Actions,User_ID
2024-04-14 22:51:27,"i broke my bottle ,it was my favourite bottle",I had it for 5 years. My grandpa gave me that bottle.,sadness,"Write down your thoughts and feelings in a journal to gain clarity and perspective., Practice self-compassion and remind yourself that it's okay to not be okay sometimes.,  Volunteer or perform acts of kindness for others to shift your focus outward and experience fulfillment., Practice gratitude by focusing on the positive aspects of your life and expressing thanks for what you have.",Lando123
2024-04-14 22:50:38,my teacher made me cry in school,"she yelled at me for not doing my homework,anger",anger,"Practice assertive communication to express your feelings effectively, Seek professional help or therapy if anger becomes overwhelming or uncontrollable, Use positive affirmations or self-talk to remind yourself of your worth and resilience, especially during challenging moments of anger, Practice forgiveness and let go of past resentments",Lando123
2024-04-14 22:24:11,i broke my bottle ,it was my favourite bottle. I had it for 5 years. My grandpa gave me that bottle.,sadness,"Remember that sadness is a natural part of the human experience, and it will pass with time and self-care., Spend time in nature, enjoying the beauty and tranquility of the outdoors.,  Practice mindfulness or meditation to bring awareness to your emotions and find inner peace., Practice gratitude by focusing on the positive aspects of your life and expressing thanks for what you have.",lando123
2024-04-14 17:28:14,my teacher made me cry in school yesterday,she yelled at me for not doing my homework,sadness,"Practice deep breathing exercises to calm your mind and body., Practice self-compassion and remind yourself that it's okay to not be okay sometimes., Practice gratitude by focusing on the positive aspects of your life and expressing thanks for what you have., Seek professional help or therapy to explore and work through your emotions in a safe environment.",dum123
2024-04-14 17:28:01,my teacher made me cry in school ,she yelled at me for not doing my homework,anger,"Go for a walk, Use positive affirmations or self-talk to remind yourself of your worth and resilience, especially during challenging moments of anger, Use visualization techniques to imagine a calming scene, Practice assertive communication to express your feelings effectively",dum123
2024-04-14 17:27:50,my teacher made me cry in school ,,sadness," Volunteer or perform acts of kindness for others to shift your focus outward and experience fulfillment., Seek professional help or therapy to explore and work through your emotions in a safe environment., Seek out support groups or online communities where you can connect with others who may be experiencing similar feelings., Remember that sadness is a natural part of the human experience, and it will pass with time and self-care.",dum123
2024-04-13 22:39:21,i hurt myself,my glasss cup broke and cut into my skin,sadness," Volunteer or perform acts of kindness for others to shift your focus outward and experience fulfillment., Seek professional help or therapy to explore and work through your emotions in a safe environment., Practice deep breathing exercises to calm your mind and body., Write down your thoughts and feelings in a journal to gain clarity and perspective.",dum123
2024-04-13 22:38:48,i broke my pen,it was my favourite,sadness,"Write down your thoughts and feelings in a journal to gain clarity and perspective.,  Practice mindfulness or meditation to bring awareness to your emotions and find inner peace., Listen to soothing music or watch uplifting movies to lift your spirits.,  Express your feelings through creative outlets like writing, drawing, or painting.",dum123
2024-04-13 19:14:13,i broke my pen,it was my favourite,sadness,"Allow yourself to cry if you feel the need, as it can be a cathartic release of pent-up emotions., Seek out support groups or online communities where you can connect with others who may be experiencing similar feelings.,  Practice mindfulness or meditation to bring awareness to your emotions and find inner peace.,  Express your feelings through creative outlets like writing, drawing, or painting.",dum123
2024-04-13 19:13:02,i cried in school,my teacher yelled at me,joy,"Spread you joy, Express your love and appreciation to those who matter most to you., Embrace your passions and pursue activities that ignite your enthusiasm., Surround yourself with positive and supportive people who uplift you.",dum123
2024-04-13 19:11:31,i broke my bottle today,,sadness,"Reach out to a trusted friend or family member for support and comfort., Engage in activities that bring you comfort and solace, such as reading a favorite book or taking a warm bath., Seek professional help or therapy to explore and work through your emotions in a safe environment., Allow yourself to cry if you feel the need, as it can be a cathartic release of pent-up emotions.",dum123
2024-04-13 19:08:43,i stubbed my toe,,neutral,"Practice self-care activities such as grooming, skincare, or relaxation rituals., Go for a leisurely walk in nature to clear your mind and enjoy the surroundings., Practice gratitude by reflecting on things you are thankful for in your life., Engage in a mindfulness or meditation session to focus on the present moment.",dum123
2024-04-13 18:54:45,i woke up nice and refreshed today,it was really nice and refreshing to sleep in,joy,"Engage in creative endeavors such as painting, writing, or crafting., Reflect on happy memories and cherish the positive experiences in your life., Practice self-care by engaging in activities that nurture your mind, body, and soul., Laugh often and find humor in everyday situations.",dan123
2024-04-13 18:48:14,"i'm angry at my mom",she never wants to b there for me even when i beg,anger,"Talk to a trusted friend or family member about your feelings, Practice empathy by trying to understand the perspective of the person or situation that triggered your anger, Use visualization techniques to imagine a calming scene, Engage in physical exercise to release tension",dan123
2024-04-13 18:37:38,i left my pen in the bus accidentally,it was given to me by my dad on my birthday. now i have lost it forever,sadness,"Allow yourself to cry if you feel the need, as it can be a cathartic release of pent-up emotions., Engage in gentle exercise or movement to release tension and boost endorphins., Spend time in nature, enjoying the beauty and tranquility of the outdoors., Watch a comforting movie",dan123
2024-04-13 18:25:54,i split coffee over my laptop,it's really bad and need to spend a lot of money on it which i cannot afford,sadness,"Practice self-care by getting enough rest, eating nourishing foods, and staying hydrated., Seek out support groups or online communities where you can connect with others who may be experiencing similar feelings., Allow yourself to feel your emotions fully without judgment., Engage in hobbies or activities that bring you joy and allow you to express yourself.",dum123
2024-04-13 18:25:54,i split coffee over my laptop,it's really bad and need to spend a lot of money on it which i cannot afford,sadness," Practice mindfulness or meditation to bring awareness to your emotions and find inner peace., Practice self-care by getting enough rest, eating nourishing foods, and staying hydrated., Practice gratitude by focusing on the positive aspects of your life and expressing thanks for what you have., Remember that sadness is a natural part of the human experience, and it will pass with time and self-care.",dum123
2024-04-13 18:23:17,i overslept today and didn'nt wake up on time,i missed my interview. My life is ruined,sadness,"Practice self-compassion and remind yourself that it's okay to not be okay sometimes., Allow yourself to cry if you feel the need, as it can be a cathartic release of pent-up emotions., Practice self-care by getting enough rest, eating nourishing foods, and staying hydrated.,  Volunteer or perform acts of kindness for others to shift your focus outward and experience fulfillment.",dum123
2024-04-13 18:20:52,i broke my bottle today,it was my favorite. i had it for 5 years,sadness,"Reach out to a trusted friend or family member for support and comfort., Listen to soothing music or watch uplifting movies to lift your spirits., Allow yourself to cry if you feel the need, as it can be a cathartic release of pent-up emotions., Engage in hobbies or activities that bring you joy and allow you to express yourself.",dum123
